period,current,average,efficient
2024-04-06 00:00:00,0.181,,
2024-04-06 00:30:00,0.199,,
2024-04-06 01:00:00,0.175,,
2024-04-06 01:30:00,0.157,,
2024-04-06 02:00:00,0.117,,
2024-04-06 02:30:00,0.151,,
2024-04-06 03:00:00,0.172,,
2024-04-06 03:30:00,0.166,,
2024-04-06 04:00:00,0.138,,
2024-04-06 04:30:00,0.181,,
2024-04-06 05:00:00,0.226,,
2024-04-06 05:30:00,0.219,,
2024-04-06 06:00:00,0.192,,
2024-04-06 06:30:00,0.195,,
2024-04-06 07:00:00,0.354,,
2024-04-06 07:30:00,0.191,,
2024-04-06 08:00:00,0.135,,
2024-04-06 08:30:00,0.172,,
2024-04-06 09:00:00,0.159,,
2024-04-06 09:30:00,0.15,,
2024-04-06 10:00:00,0.13,,
2024-04-06 10:30:00,0.084,,
2024-04-06 11:00:00,0.096,,
2024-04-06 11:30:00,0.098,,
2024-04-06 12:00:00,0.073,,
2024-04-06 12:30:00,0.098,,
2024-04-06 13:00:00,0.086,,
2024-04-06 13:30:00,0.083,,
2024-04-06 14:00:00,0.097,,
2024-04-06 14:30:00,0.071,,
2024-04-06 15:00:00,0.098,,
2024-04-06 15:30:00,0.103,,
2024-04-06 16:00:00,0.173,,
2024-04-06 16:30:00,0.129,,
2024-04-06 17:00:00,0.131,,
2024-04-06 17:30:00,0.125,,
2024-04-06 18:00:00,0.099,,
2024-04-06 18:30:00,0.087,,
2024-04-06 19:00:00,0.099,,
2024-04-06 19:30:00,0.718,,
2024-04-06 20:00:00,0.0,,
2024-04-06 20:30:00,0.0,,
2024-04-06 21:00:00,0.0,,
2024-04-06 21:30:00,0.0,,
2024-04-06 22:00:00,0.0,,
2024-04-06 22:30:00,0.0,,
2024-04-06 23:00:00,0.0,,
2024-04-06 23:30:00,0.0,,
2024-04-05 00:00:00,0.23,,
2024-04-05 00:30:00,0.229,,
2024-04-05 01:00:00,0.228,,
2024-04-05 01:30:00,0.181,,
2024-04-05 02:00:00,0.17,,
2024-04-05 02:30:00,0.148,,
2024-04-05 03:00:00,0.15,,
2024-04-05 03:30:00,0.144,,
2024-04-05 04:00:00,0.119,,
2024-04-05 04:30:00,0.201,,
2024-04-05 05:00:00,0.196,,
2024-04-05 05:30:00,0.175,,
2024-04-05 06:00:00,0.153,,
2024-04-05 06:30:00,0.183,,
2024-04-05 07:00:00,0.134,,
2024-04-05 07:30:00,0.165,,
2024-04-05 08:00:00,0.175,,
2024-04-05 08:30:00,0.144,,
2024-04-05 09:00:00,0.144,,
2024-04-05 09:30:00,0.163,,
2024-04-05 10:00:00,0.186,,
2024-04-05 10:30:00,0.177,,
2024-04-05 11:00:00,0.13,,
2024-04-05 11:30:00,0.142,,
2024-04-05 12:00:00,0.821,,
2024-04-05 12:30:00,0.112,,
2024-04-05 13:00:00,0.136,,
2024-04-05 13:30:00,0.081,,
2024-04-05 14:00:00,0.101,,
2024-04-05 14:30:00,0.098,,
2024-04-05 15:00:00,0.071,,
2024-04-05 15:30:00,0.099,,
2024-04-05 16:00:00,0.07,,
2024-04-05 16:30:00,0.099,,
2024-04-05 17:00:00,0.069,,
2024-04-05 17:30:00,0.1,,
2024-04-05 18:00:00,0.104,,
2024-04-05 18:30:00,0.789,,
2024-04-05 19:00:00,0.195,,
2024-04-05 19:30:00,0.205,,
2024-04-05 20:00:00,0.169,,
2024-04-05 20:30:00,0.173,,
2024-04-05 21:00:00,0.149,,
2024-04-05 21:30:00,0.143,,
2024-04-05 22:00:00,0.141,,
2024-04-05 22:30:00,1.468,,
2024-04-05 23:00:00,1.574,,
2024-04-05 23:30:00,0.2,,
2024-04-04 00:00:00,0.215,,
2024-04-04 00:30:00,0.175,,
2024-04-04 01:00:00,0.175,,
2024-04-04 01:30:00,0.192,,
2024-04-04 02:00:00,0.219,,
2024-04-04 02:30:00,0.404,,
2024-04-04 03:00:00,0.17,,
2024-04-04 03:30:00,0.156,,
2024-04-04 04:00:00,0.169,,
2024-04-04 04:30:00,0.192,,
2024-04-04 05:00:00,0.187,,
2024-04-04 05:30:00,0.16,,
2024-04-04 06:00:00,0.158,,
2024-04-04 06:30:00,0.19,,
2024-04-04 07:00:00,0.1,,
2024-04-04 07:30:00,0.108,,
2024-04-04 08:00:00,0.076,,
2024-04-04 08:30:00,0.107,,
2024-04-04 09:00:00,0.128,,
2024-04-04 09:30:00,0.186,,
2024-04-04 10:00:00,0.144,,
2024-04-04 10:30:00,0.146,,
2024-04-04 11:00:00,0.146,,
2024-04-04 11:30:00,0.158,,
2024-04-04 12:00:00,0.21,,
2024-04-04 12:30:00,0.648,,
2024-04-04 13:00:00,0.123,,
2024-04-04 13:30:00,0.103,,
2024-04-04 14:00:00,0.081,,
2024-04-04 14:30:00,0.109,,
2024-04-04 15:00:00,0.083,,
2024-04-04 15:30:00,0.116,,
2024-04-04 16:00:00,0.077,,
2024-04-04 16:30:00,0.111,,
2024-04-04 17:00:00,0.044,,
2024-04-04 17:30:00,0.077,,
2024-04-04 18:00:00,0.047,,
2024-04-04 18:30:00,0.074,,
2024-04-04 19:00:00,0.69,,
2024-04-04 19:30:00,0.169,,
2024-04-04 20:00:00,0.164,,
2024-04-04 20:30:00,0.713,,
2024-04-04 21:00:00,0.198,,
2024-04-04 21:30:00,0.268,,
2024-04-04 22:00:00,0.188,,
2024-04-04 22:30:00,0.203,,
2024-04-04 23:00:00,1.697,,
2024-04-04 23:30:00,0.692,,
2024-04-03 00:00:00,0.152,,
2024-04-03 00:30:00,0.15,,
2024-04-03 01:00:00,0.174,,
2024-04-03 01:30:00,0.178,,
2024-04-03 02:00:00,0.175,,
2024-04-03 02:30:00,0.244,,
2024-04-03 03:00:00,0.201,,
2024-04-03 03:30:00,0.193,,
2024-04-03 04:00:00,0.187,,
2024-04-03 04:30:00,0.185,,
2024-04-03 05:00:00,0.179,,
2024-04-03 05:30:00,0.176,,
2024-04-03 06:00:00,0.192,,
2024-04-03 06:30:00,0.184,,
2024-04-03 07:00:00,0.181,,
2024-04-03 07:30:00,0.158,,
2024-04-03 08:00:00,0.158,,
2024-04-03 08:30:00,0.314,,
2024-04-03 09:00:00,0.162,,
2024-04-03 09:30:00,0.154,,
2024-04-03 10:00:00,0.171,,
2024-04-03 10:30:00,0.158,,
2024-04-03 11:00:00,0.152,,
2024-04-03 11:30:00,0.159,,
2024-04-03 12:00:00,1.116,,
2024-04-03 12:30:00,0.628,,
2024-04-03 13:00:00,0.135,,
2024-04-03 13:30:00,0.131,,
2024-04-03 14:00:00,0.123,,
2024-04-03 14:30:00,0.119,,
2024-04-03 15:00:00,0.117,,
2024-04-03 15:30:00,0.115,,
2024-04-03 16:00:00,0.092,,
2024-04-03 16:30:00,0.088,,
2024-04-03 17:00:00,0.094,,
2024-04-03 17:30:00,0.097,,
2024-04-03 18:00:00,1.056,,
2024-04-03 18:30:00,0.09,,
2024-04-03 19:00:00,1.022,,
2024-04-03 19:30:00,0.581,,
2024-04-03 20:00:00,0.138,,
2024-04-03 20:30:00,0.193,,
2024-04-03 21:00:00,0.2,,
2024-04-03 21:30:00,0.164,,
2024-04-03 22:00:00,0.186,,
2024-04-03 22:30:00,0.267,,
2024-04-03 23:00:00,0.292,,
2024-04-03 23:30:00,0.238,,
2024-04-02 00:00:00,1.71,,
2024-04-02 00:30:00,0.875,,
2024-04-02 01:00:00,0.225,,
2024-04-02 01:30:00,0.217,,
2024-04-02 02:00:00,0.201,,
2024-04-02 02:30:00,0.24,,
2024-04-02 03:00:00,0.232,,
2024-04-02 03:30:00,0.233,,
2024-04-02 04:00:00,0.193,,
2024-04-02 04:30:00,0.214,,
2024-04-02 05:00:00,0.234,,
2024-04-02 05:30:00,0.23,,
2024-04-02 06:00:00,0.177,,
2024-04-02 06:30:00,0.103,,
2024-04-02 07:00:00,0.09,,
2024-04-02 07:30:00,0.103,,
2024-04-02 08:00:00,0.104,,
2024-04-02 08:30:00,0.127,,
2024-04-02 09:00:00,0.182,,
2024-04-02 09:30:00,0.136,,
2024-04-02 10:00:00,0.138,,
2024-04-02 10:30:00,0.133,,
2024-04-02 11:00:00,0.129,,
2024-04-02 11:30:00,0.13,,
2024-04-02 12:00:00,0.464,,
2024-04-02 12:30:00,0.153,,
2024-04-02 13:00:00,0.117,,
2024-04-02 13:30:00,0.073,,
2024-04-02 14:00:00,0.098,,
2024-04-02 14:30:00,0.099,,
2024-04-02 15:00:00,0.101,,
2024-04-02 15:30:00,0.109,,
2024-04-02 16:00:00,0.09,,
2024-04-02 16:30:00,0.088,,
2024-04-02 17:00:00,0.074,,
2024-04-02 17:30:00,0.077,,
2024-04-02 18:00:00,1.165,,
2024-04-02 18:30:00,0.161,,
2024-04-02 19:00:00,0.235,,
2024-04-02 19:30:00,0.189,,
2024-04-02 20:00:00,0.214,,
2024-04-02 20:30:00,0.178,,
2024-04-02 21:00:00,0.175,,
2024-04-02 21:30:00,0.819,,
2024-04-02 22:00:00,0.23,,
2024-04-02 22:30:00,0.19,,
2024-04-02 23:00:00,0.158,,
2024-04-02 23:30:00,0.155,,
2024-04-01 00:00:00,0.216,,
2024-04-01 00:30:00,0.242,,
2024-04-01 01:00:00,0.357,,
2024-04-01 01:30:00,0.195,,
2024-04-01 02:00:00,0.178,,
2024-04-01 02:30:00,0.163,,
2024-04-01 03:00:00,0.208,,
2024-04-01 03:30:00,0.165,,
2024-04-01 04:00:00,0.163,,
2024-04-01 04:30:00,0.156,,
2024-04-01 05:00:00,0.152,,
2024-04-01 05:30:00,0.149,,
2024-04-01 06:00:00,0.147,,
2024-04-01 06:30:00,0.147,,
2024-04-01 07:00:00,0.105,,
2024-04-01 07:30:00,0.127,,
2024-04-01 08:00:00,0.128,,
2024-04-01 08:30:00,0.131,,
2024-04-01 09:00:00,0.13,,
2024-04-01 09:30:00,0.101,,
2024-04-01 10:00:00,0.124,,
2024-04-01 10:30:00,0.125,,
2024-04-01 11:00:00,0.152,,
2024-04-01 11:30:00,0.09,,
2024-04-01 12:00:00,0.116,,
2024-04-01 12:30:00,0.129,,
2024-04-01 13:00:00,0.581,,
2024-04-01 13:30:00,1.097,,
2024-04-01 14:00:00,0.149,,
2024-04-01 14:30:00,0.175,,
2024-04-01 15:00:00,0.171,,
2024-04-01 15:30:00,0.18,,
2024-04-01 16:00:00,0.269,,
2024-04-01 16:30:00,0.093,,
2024-04-01 17:00:00,0.053,,
2024-04-01 17:30:00,1.015,,
2024-04-01 18:00:00,0.145,,
2024-04-01 18:30:00,0.146,,
2024-04-01 19:00:00,0.157,,
2024-04-01 19:30:00,0.158,,
2024-04-01 20:00:00,0.14,,
2024-04-01 20:30:00,0.111,,
2024-04-01 21:00:00,0.152,,
2024-04-01 21:30:00,0.153,,
2024-04-01 22:00:00,0.156,,
2024-04-01 22:30:00,0.147,,
2024-04-01 23:00:00,0.202,,
2024-04-01 23:30:00,0.253,,
2024-03-31 00:00:00,0.175,,
2024-03-31 00:30:00,0.21,,
2024-03-31 01:00:00,1.268,,
2024-03-31 01:30:00,0.276,,
2024-03-31 02:00:00,0.291,,
2024-03-31 02:30:00,0.262,,
2024-03-31 03:00:00,0.243,,
2024-03-31 03:30:00,0.446,,
2024-03-31 04:00:00,0.224,,
2024-03-31 04:30:00,0.22,,
2024-03-31 05:00:00,0.217,,
2024-03-31 05:30:00,0.217,,
2024-03-31 06:00:00,0.182,,
2024-03-31 06:30:00,0.156,,
2024-03-31 07:00:00,0.182,,
2024-03-31 07:30:00,0.247,,
2024-03-31 08:00:00,0.202,,
2024-03-31 08:30:00,0.181,,
2024-03-31 09:00:00,0.159,,
2024-03-31 09:30:00,0.153,,
2024-03-31 10:00:00,0.151,,
2024-03-31 10:30:00,0.15,,
2024-03-31 11:00:00,1.027,,
2024-03-31 11:30:00,0.37,,
2024-03-31 12:00:00,0.143,,
2024-03-31 12:30:00,0.124,,
2024-03-31 13:00:00,0.124,,
2024-03-31 13:30:00,0.082,,
2024-03-31 14:00:00,0.105,,
2024-03-31 14:30:00,0.105,,
2024-03-31 15:00:00,0.111,,
2024-03-31 15:30:00,0.112,,
2024-03-31 16:00:00,0.095,,
2024-03-31 16:30:00,0.096,,
2024-03-31 17:00:00,0.135,,
2024-03-31 17:30:00,0.169,,
2024-03-31 18:00:00,0.15,,
2024-03-31 18:30:00,0.263,,
2024-03-31 19:00:00,0.273,,
2024-03-31 19:30:00,0.139,,
2024-03-31 20:00:00,0.134,,
2024-03-31 20:30:00,0.132,,
2024-03-31 21:00:00,0.873,,
2024-03-31 21:30:00,0.193,,
2024-03-31 22:00:00,0.458,,
2024-03-31 22:30:00,0.165,,
2024-03-31 23:00:00,1.476,,
2024-03-31 23:30:00,0.86,,
2024-03-30 00:00:00,0.454,,
2024-03-30 00:30:00,0.218,,
2024-03-30 01:00:00,0.201,,
2024-03-30 01:30:00,0.187,,
2024-03-30 02:00:00,0.174,,
2024-03-30 02:30:00,0.174,,
2024-03-30 03:00:00,0.229,,
2024-03-30 03:30:00,0.228,,
2024-03-30 04:00:00,0.275,,
2024-03-30 04:30:00,0.245,,
2024-03-30 05:00:00,0.183,,
2024-03-30 05:30:00,0.211,,
2024-03-30 06:00:00,0.212,,
2024-03-30 06:30:00,0.171,,
2024-03-30 07:00:00,0.168,,
2024-03-30 07:30:00,0.162,,
2024-03-30 08:00:00,0.154,,
2024-03-30 08:30:00,0.159,,
2024-03-30 09:00:00,0.154,,
2024-03-30 09:30:00,0.523,,
2024-03-30 10:00:00,0.119,,
2024-03-30 10:30:00,0.148,,
2024-03-30 11:00:00,0.145,,
2024-03-30 11:30:00,0.139,,
2024-03-30 12:00:00,0.145,,
2024-03-30 12:30:00,0.168,,
2024-03-30 13:00:00,0.147,,
2024-03-30 13:30:00,0.168,,
2024-03-30 14:00:00,0.212,,
2024-03-30 14:30:00,0.138,,
2024-03-30 15:00:00,0.142,,
2024-03-30 15:30:00,0.137,,
2024-03-30 16:00:00,0.138,,
2024-03-30 16:30:00,0.156,,
2024-03-30 17:00:00,0.157,,
2024-03-30 17:30:00,0.165,,
2024-03-30 18:00:00,0.159,,
2024-03-30 18:30:00,0.124,,
2024-03-30 19:00:00,0.151,,
2024-03-30 19:30:00,0.084,,
2024-03-30 20:00:00,0.086,,
2024-03-30 20:30:00,0.317,,
2024-03-30 21:00:00,1.022,,
2024-03-30 21:30:00,0.154,,
2024-03-30 22:00:00,0.139,,
2024-03-30 22:30:00,0.14,,
2024-03-30 23:00:00,0.152,,
2024-03-30 23:30:00,0.184,,
2024-03-29 00:00:00,0.161,,
2024-03-29 00:30:00,0.198,,
2024-03-29 01:00:00,0.223,,
2024-03-29 01:30:00,0.195,,
2024-03-29 02:00:00,0.187,,
2024-03-29 02:30:00,0.188,,
2024-03-29 03:00:00,0.184,,
2024-03-29 03:30:00,0.191,,
2024-03-29 04:00:00,0.236,,
2024-03-29 04:30:00,0.194,,
2024-03-29 05:00:00,0.192,,
2024-03-29 05:30:00,0.152,,
2024-03-29 06:00:00,0.144,,
2024-03-29 06:30:00,0.14,,
2024-03-29 07:00:00,0.14,,
2024-03-29 07:30:00,0.129,,
2024-03-29 08:00:00,0.13,,
2024-03-29 08:30:00,0.128,,
2024-03-29 09:00:00,0.128,,
2024-03-29 09:30:00,0.127,,
2024-03-29 10:00:00,0.128,,
2024-03-29 10:30:00,0.127,,
2024-03-29 11:00:00,0.127,,
2024-03-29 11:30:00,0.16,,
2024-03-29 12:00:00,0.157,,
2024-03-29 12:30:00,0.144,,
2024-03-29 13:00:00,0.137,,
2024-03-29 13:30:00,0.132,,
2024-03-29 14:00:00,0.131,,
2024-03-29 14:30:00,0.149,,
2024-03-29 15:00:00,0.162,,
2024-03-29 15:30:00,0.15,,
2024-03-29 16:00:00,0.14,,
2024-03-29 16:30:00,0.153,,
2024-03-29 17:00:00,0.143,,
2024-03-29 17:30:00,0.149,,
2024-03-29 18:00:00,0.378,,
2024-03-29 18:30:00,0.169,,
2024-03-29 19:00:00,0.179,,
2024-03-29 19:30:00,0.184,,
2024-03-29 20:00:00,0.213,,
2024-03-29 20:30:00,0.243,,
2024-03-29 21:00:00,0.175,,
2024-03-29 21:30:00,0.165,,
2024-03-29 22:00:00,0.814,,
2024-03-29 22:30:00,0.175,,
2024-03-29 23:00:00,0.593,,
2024-03-29 23:30:00,2.206,,
2024-03-28 00:00:00,0.168,,
2024-03-28 00:30:00,0.252,,
2024-03-28 01:00:00,0.26,,
2024-03-28 01:30:00,0.202,,
2024-03-28 02:00:00,0.21,,
2024-03-28 02:30:00,0.221,,
2024-03-28 03:00:00,0.217,,
2024-03-28 03:30:00,0.215,,
2024-03-28 04:00:00,0.212,,
2024-03-28 04:30:00,0.201,,
2024-03-28 05:00:00,0.197,,
2024-03-28 05:30:00,0.195,,
2024-03-28 06:00:00,0.156,,
2024-03-28 06:30:00,0.151,,
2024-03-28 07:00:00,0.142,,
2024-03-28 07:30:00,0.143,,
2024-03-28 08:00:00,0.136,,
2024-03-28 08:30:00,0.143,,
2024-03-28 09:00:00,0.142,,
2024-03-28 09:30:00,0.15,,
2024-03-28 10:00:00,0.166,,
2024-03-28 10:30:00,0.209,,
2024-03-28 11:00:00,0.172,,
2024-03-28 11:30:00,0.141,,
2024-03-28 12:00:00,0.856,,
2024-03-28 12:30:00,0.81,,
2024-03-28 13:00:00,0.137,,
2024-03-28 13:30:00,0.112,,
2024-03-28 14:00:00,0.12,,
2024-03-28 14:30:00,0.094,,
2024-03-28 15:00:00,0.104,,
2024-03-28 15:30:00,0.122,,
2024-03-28 16:00:00,0.121,,
2024-03-28 16:30:00,0.244,,
2024-03-28 17:00:00,0.088,,
2024-03-28 17:30:00,0.051,,
2024-03-28 18:00:00,0.075,,
2024-03-28 18:30:00,0.074,,
2024-03-28 19:00:00,1.226,,
2024-03-28 19:30:00,0.218,,
2024-03-28 20:00:00,0.176,,
2024-03-28 20:30:00,0.225,,
2024-03-28 21:00:00,0.528,,
2024-03-28 21:30:00,0.256,,
2024-03-28 22:00:00,0.254,,
2024-03-28 22:30:00,0.23,,
2024-03-28 23:00:00,0.244,,
2024-03-28 23:30:00,0.44,,
2024-03-27 00:00:00,0.196,,
2024-03-27 00:30:00,0.216,,
2024-03-27 01:00:00,0.191,,
2024-03-27 01:30:00,0.175,,
2024-03-27 02:00:00,0.186,,
2024-03-27 02:30:00,0.189,,
2024-03-27 03:00:00,0.181,,
2024-03-27 03:30:00,0.187,,
2024-03-27 04:00:00,0.152,,
2024-03-27 04:30:00,0.166,,
2024-03-27 05:00:00,0.166,,
2024-03-27 05:30:00,0.14,,
2024-03-27 06:00:00,0.175,,
2024-03-27 06:30:00,0.226,,
2024-03-27 07:00:00,0.14,,
2024-03-27 07:30:00,0.14,,
2024-03-27 08:00:00,0.134,,
2024-03-27 08:30:00,0.129,,
2024-03-27 09:00:00,0.128,,
2024-03-27 09:30:00,0.126,,
2024-03-27 10:00:00,0.089,,
2024-03-27 10:30:00,0.138,,
2024-03-27 11:00:00,0.129,,
2024-03-27 11:30:00,0.127,,
2024-03-27 12:00:00,0.192,,
2024-03-27 12:30:00,1.366,,
2024-03-27 13:00:00,0.147,,
2024-03-27 13:30:00,0.141,,
2024-03-27 14:00:00,0.141,,
2024-03-27 14:30:00,0.134,,
2024-03-27 15:00:00,0.312,,
2024-03-27 15:30:00,0.553,,
2024-03-27 16:00:00,0.112,,
2024-03-27 16:30:00,0.814,,
2024-03-27 17:00:00,0.135,,
2024-03-27 17:30:00,0.112,,
2024-03-27 18:00:00,0.11,,
2024-03-27 18:30:00,0.109,,
2024-03-27 19:00:00,0.139,,
2024-03-27 19:30:00,0.977,,
2024-03-27 20:00:00,1.308,,
2024-03-27 20:30:00,0.17,,
2024-03-27 21:00:00,0.151,,
2024-03-27 21:30:00,0.156,,
2024-03-27 22:00:00,0.2,,
2024-03-27 22:30:00,0.213,,
2024-03-27 23:00:00,0.204,,
2024-03-27 23:30:00,0.177,,
2024-03-26 00:00:00,0.943,,
2024-03-26 00:30:00,0.206,,
2024-03-26 01:00:00,0.213,,
2024-03-26 01:30:00,0.222,,
2024-03-26 02:00:00,0.226,,
2024-03-26 02:30:00,0.222,,
2024-03-26 03:00:00,0.227,,
2024-03-26 03:30:00,0.183,,
2024-03-26 04:00:00,0.147,,
2024-03-26 04:30:00,0.157,,
2024-03-26 05:00:00,0.137,,
2024-03-26 05:30:00,0.128,,
2024-03-26 06:00:00,0.14,,
2024-03-26 06:30:00,0.142,,
2024-03-26 07:00:00,0.142,,
2024-03-26 07:30:00,0.127,,
2024-03-26 08:00:00,0.129,,
2024-03-26 08:30:00,0.141,,
2024-03-26 09:00:00,0.124,,
2024-03-26 09:30:00,0.11,,
2024-03-26 10:00:00,0.107,,
2024-03-26 10:30:00,0.209,,
2024-03-26 11:00:00,0.175,,
2024-03-26 11:30:00,0.709,,
2024-03-26 12:00:00,0.132,,
2024-03-26 12:30:00,0.151,,
2024-03-26 13:00:00,0.124,,
2024-03-26 13:30:00,0.116,,
2024-03-26 14:00:00,0.322,,
2024-03-26 14:30:00,0.413,,
2024-03-26 15:00:00,0.126,,
2024-03-26 15:30:00,0.107,,
2024-03-26 16:00:00,0.102,,
2024-03-26 16:30:00,0.106,,
2024-03-26 17:00:00,0.123,,
2024-03-26 17:30:00,0.556,,
2024-03-26 18:00:00,0.35,,
2024-03-26 18:30:00,0.489,,
2024-03-26 19:00:00,0.455,,
2024-03-26 19:30:00,0.139,,
2024-03-26 20:00:00,0.162,,
2024-03-26 20:30:00,0.248,,
2024-03-26 21:00:00,0.569,,
2024-03-26 21:30:00,0.309,,
2024-03-26 22:00:00,0.218,,
2024-03-26 22:30:00,0.186,,
2024-03-26 23:00:00,0.162,,
2024-03-26 23:30:00,0.163,,
2024-03-25 00:00:00,0.238,,
2024-03-25 00:30:00,0.227,,
2024-03-25 01:00:00,0.225,,
2024-03-25 01:30:00,0.217,,
2024-03-25 02:00:00,0.211,,
2024-03-25 02:30:00,0.222,,
2024-03-25 03:00:00,0.216,,
2024-03-25 03:30:00,0.22,,
2024-03-25 04:00:00,0.166,,
2024-03-25 04:30:00,0.15,,
2024-03-25 05:00:00,0.151,,
2024-03-25 05:30:00,0.136,,
2024-03-25 06:00:00,0.111,,
2024-03-25 06:30:00,0.129,,
2024-03-25 07:00:00,0.132,,
2024-03-25 07:30:00,0.133,,
2024-03-25 08:00:00,0.137,,
2024-03-25 08:30:00,0.143,,
2024-03-25 09:00:00,0.215,,
2024-03-25 09:30:00,0.162,,
2024-03-25 10:00:00,0.162,,
2024-03-25 10:30:00,0.157,,
2024-03-25 11:00:00,0.178,,
2024-03-25 11:30:00,0.201,,
2024-03-25 12:00:00,0.473,,
2024-03-25 12:30:00,0.189,,
2024-03-25 13:00:00,0.184,,
2024-03-25 13:30:00,0.214,,
2024-03-25 14:00:00,0.992,,
2024-03-25 14:30:00,0.164,,
2024-03-25 15:00:00,0.131,,
2024-03-25 15:30:00,0.119,,
2024-03-25 16:00:00,0.092,,
2024-03-25 16:30:00,0.133,,
2024-03-25 17:00:00,0.128,,
2024-03-25 17:30:00,0.13,,
2024-03-25 18:00:00,0.121,,
2024-03-25 18:30:00,0.116,,
2024-03-25 19:00:00,0.133,,
2024-03-25 19:30:00,0.137,,
2024-03-25 20:00:00,0.91,,
2024-03-25 20:30:00,0.144,,
2024-03-25 21:00:00,0.141,,
2024-03-25 21:30:00,0.126,,
2024-03-25 22:00:00,0.135,,
2024-03-25 22:30:00,0.48,,
2024-03-25 23:00:00,0.65,,
2024-03-25 23:30:00,0.171,,
2024-03-24 00:00:00,0.118,,
2024-03-24 00:30:00,0.099,,
2024-03-24 01:00:00,0.216,,
2024-03-24 01:30:00,0.423,,
2024-03-24 02:00:00,0.108,,
2024-03-24 02:30:00,0.139,,
2024-03-24 03:00:00,0.103,,
2024-03-24 03:30:00,0.172,,
2024-03-24 04:00:00,0.139,,
2024-03-24 04:30:00,0.134,,
2024-03-24 05:00:00,0.128,,
2024-03-24 05:30:00,0.104,,
2024-03-24 06:00:00,0.082,,
2024-03-24 06:30:00,0.1,,
2024-03-24 07:00:00,0.068,,
2024-03-24 07:30:00,0.1,,
2024-03-24 08:00:00,0.068,,
2024-03-24 08:30:00,0.363,,
2024-03-24 09:00:00,0.658,,
2024-03-24 09:30:00,0.117,,
2024-03-24 10:00:00,0.125,,
2024-03-24 10:30:00,0.127,,
2024-03-24 11:00:00,0.081,,
2024-03-24 11:30:00,0.136,,
2024-03-24 12:00:00,0.105,,
2024-03-24 12:30:00,0.165,,
2024-03-24 13:00:00,0.15,,
2024-03-24 13:30:00,0.171,,
2024-03-24 14:00:00,0.16,,
2024-03-24 14:30:00,0.162,,
2024-03-24 15:00:00,1.66,,
2024-03-24 15:30:00,0.402,,
2024-03-24 16:00:00,0.166,,
2024-03-24 16:30:00,0.156,,
2024-03-24 17:00:00,0.151,,
2024-03-24 17:30:00,0.659,,
2024-03-24 18:00:00,0.484,,
2024-03-24 18:30:00,0.206,,
2024-03-24 19:00:00,0.285,,
2024-03-24 19:30:00,0.59,,
2024-03-24 20:00:00,0.477,,
2024-03-24 20:30:00,0.163,,
2024-03-24 21:00:00,0.207,,
2024-03-24 21:30:00,0.2,,
2024-03-24 22:00:00,0.189,,
2024-03-24 22:30:00,0.213,,
2024-03-24 23:00:00,0.21,,
2024-03-24 23:30:00,0.259,,
2024-03-23 00:00:00,0.152,,
2024-03-23 00:30:00,0.125,,
2024-03-23 01:00:00,0.146,,
2024-03-23 01:30:00,0.143,,
2024-03-23 02:00:00,0.102,,
2024-03-23 02:30:00,0.103,,
2024-03-23 03:00:00,0.078,,
2024-03-23 03:30:00,0.087,,
2024-03-23 04:00:00,0.099,,
2024-03-23 04:30:00,0.141,,
2024-03-23 05:00:00,0.151,,
2024-03-23 05:30:00,0.133,,
2024-03-23 06:00:00,0.127,,
2024-03-23 06:30:00,0.104,,
2024-03-23 07:00:00,0.098,,
2024-03-23 07:30:00,0.152,,
2024-03-23 08:00:00,0.122,,
2024-03-23 08:30:00,0.423,,
2024-03-23 09:00:00,0.833,,
2024-03-23 09:30:00,0.219,,
2024-03-23 10:00:00,0.194,,
2024-03-23 10:30:00,0.219,,
2024-03-23 11:00:00,0.134,,
2024-03-23 11:30:00,0.085,,
2024-03-23 12:00:00,0.154,,
2024-03-23 12:30:00,0.134,,
2024-03-23 13:00:00,0.094,,
2024-03-23 13:30:00,0.11,,
2024-03-23 14:00:00,0.132,,
2024-03-23 14:30:00,0.103,,
2024-03-23 15:00:00,0.133,,
2024-03-23 15:30:00,0.197,,
2024-03-23 16:00:00,0.998,,
2024-03-23 16:30:00,0.196,,
2024-03-23 17:00:00,0.158,,
2024-03-23 17:30:00,0.643,,
2024-03-23 18:00:00,1.316,,
2024-03-23 18:30:00,0.147,,
2024-03-23 19:00:00,0.11,,
2024-03-23 19:30:00,0.205,,
2024-03-23 20:00:00,0.201,,
2024-03-23 20:30:00,0.133,,
2024-03-23 21:00:00,0.112,,
2024-03-23 21:30:00,0.109,,
2024-03-23 22:00:00,0.079,,
2024-03-23 22:30:00,0.11,,
2024-03-23 23:00:00,0.077,,
2024-03-23 23:30:00,0.112,,
